# energy_eV muE
8.779000000000000000e+03 -1.307048599999999894e+00
8.789000000000000000e+03 -1.300610400000000055e+00
8.799000000000000000e+03 -1.303381600000000029e+00
8.809000000000000000e+03 -1.305972399999999922e+00
8.819000000000000000e+03 -1.310708500000000054e+00
8.829000000000000000e+03 -1.313815200000000072e+00
8.839000000000000000e+03 -1.307205500000000020e+00
8.849000000000000000e+03 -1.319588200000000100e+00
8.859000000000000000e+03 -1.323389499999999996e+00
8.869000000000000000e+03 -1.325352099999999922e+00
8.879000000000000000e+03 -1.327693000000000012e+00
8.889000000000000000e+03 -1.331294399999999989e+00
8.899000000000000000e+03 -1.333628899999999895e+00
8.909000000000000000e+03 -1.330511400000000011e+00
8.919000000000000000e+03 -1.338538100000000064e+00
8.929000000000000000e+03 -1.340322199999999908e+00
8.939000000000000000e+03 -1.341937399999999947e+00
8.949000000000000000e+03 -1.335351799999999978e+00
8.959000000000000000e+03 -1.339416200000000057e+00
8.959500000000000000e+03 -1.339089999999999892e+00
8.960000000000000000e+03 -1.338673900000000083e+00
8.960500000000000000e+03 -1.338226200000000032e+00
8.961000000000000000e+03 -1.337378100000000014e+00
8.961500000000000000e+03 -1.336675300000000011e+00
8.962000000000000000e+03 -1.336781900000000078e+00
8.962500000000000000e+03 -1.336391399999999896e+00
8.963000000000000000e+03 -1.335779199999999944e+00
8.963500000000000000e+03 -1.335421600000000097e+00
8.964000000000000000e+03 -1.334831499999999949e+00
8.964500000000000000e+03 -1.334316000000000058e+00
8.965000000000000000e+03 -1.333724600000000038e+00
8.965500000000000000e+03 -1.332780300000000029e+00
8.966000000000000000e+03 -1.332317799999999997e+00
8.966500000000000000e+03 -1.330411900000000092e+00
8.967000000000000000e+03 -1.330346699999999993e+00
8.967500000000000000e+03 -1.329798400000000047e+00
8.968000000000000000e+03 -1.327926399999999951e+00
8.968500000000000000e+03 -1.327378600000000075e+00
8.969000000000000000e+03 -1.326035800000000098e+00
8.969500000000000000e+03 -1.324398799999999987e+00
8.970000000000000000e+03 -1.322908299999999926e+00
8.970500000000000000e+03 -1.321703899999999932e+00
8.971000000000000000e+03 -1.319659600000000044e+00
8.971500000000000000e+03 -1.317531900000000089e+00
8.972000000000000000e+03 -1.315353500000000064e+00
8.972500000000000000e+03 -1.312581900000000079e+00
8.973000000000000000e+03 -1.309753399999999957e+00
8.973500000000000000e+03 -1.306245399999999890e+00
8.974000000000000000e+03 -1.301953099999999974e+00
8.974500000000000000e+03 -1.298223899999999986e+00
8.975000000000000000e+03 -1.292397100000000076e+00
8.975500000000000000e+03 -1.286073400000000033e+00
8.976000000000000000e+03 -1.277839399999999959e+00
8.976500000000000000e+03 -1.268353999999999981e+00
8.977000000000000000e+03 -1.256029800000000085e+00
8.977500000000000000e+03 -1.238842999999999916e+00
8.978000000000000000e+03 -1.216796800000000012e+00
8.978500000000000000e+03 -1.181481199999999898e+00
8.979000000000000000e+03 -1.129177799999999898e+00
8.979500000000000000e+03 -1.037756099999999959e+00
8.980000000000000000e+03 -8.641012900000000219e-01
8.980500000000000000e+03 -6.174800599999999973e-01
8.981000000000000000e+03 -3.400309300000000090e-01
