# R_A chiR_magnitude
0.000000000000000000e+00 1.232346176664705266e-03
3.067961575771282340e-02 1.514802733393891395e-03
6.135923151542564680e-02 2.116583819959607597e-03
9.203884727313846326e-02 2.752957754399958622e-03
1.227184630308512936e-01 3.263902783763176271e-03
1.533980787885641239e-01 3.529554110974365833e-03
1.840776945462769265e-01 3.456180784194128140e-03
2.147573103039897569e-01 2.998225550703728908e-03
2.454369260617025872e-01 2.211815430045554944e-03
2.761165418194154175e-01 1.477675849740331827e-03
3.067961575771282479e-01 1.879641628700610490e-03
3.374757733348410782e-01 3.184356532323140594e-03
3.681553890925538530e-01 4.523716741528118097e-03
3.988350048502666834e-01 5.499108382486586621e-03
4.295146206079795137e-01 5.850985098196240589e-03
4.601942363656923440e-01 5.407787889821326702e-03
4.908738521234051744e-01 4.114979907691390312e-03
5.215534678811180047e-01 2.165326301425391127e-03
5.522330836388308350e-01 1.813427684115672799e-03
5.829126993965436654e-01 4.646815222944489579e-03
6.135923151542564957e-01 7.764611443241549622e-03
6.442719309119693261e-01 1.039206464425489196e-02
6.749515466696821564e-01 1.195862244653997895e-02
7.056311624273949867e-01 1.193167951938143428e-02
7.363107781851077061e-01 9.848855711563374304e-03
7.669903939428205364e-01 5.364622025196003584e-03
7.976700097005333667e-01 1.785252705194694716e-03
8.283496254582461971e-01 1.147200184264026562e-02
8.590292412159590274e-01 2.365569938887106607e-02
8.897088569736718577e-01 3.796943798296549544e-02
9.203884727313846881e-01 5.392319263268925689e-02
9.510680884890975184e-01 7.091436548769732007e-02
9.817477042468103487e-01 8.827336451422015950e-02
1.012427320004523068e+00 1.053146076159051647e-01
1.043106935762236009e+00 1.213883110878960364e-01
1.073786551519948729e+00 1.359302103911371740e-01
1.104466167277661670e+00 1.485081089353134931e-01
1.135145783035374389e+00 1.588657571121479262e-01
1.165825398793087331e+00 1.669652048210871487e-01
1.196505014550800050e+00 1.730271883856318582e-01
1.227184630308512991e+00 1.775636607010050994e-01
1.257864246066225711e+00 1.813859764531964569e-01
1.288543861823938652e+00 1.855587206046252491e-01
1.319223477581651371e+00 1.912648160012347942e-01
1.349903093339364313e+00 1.995758255483696952e-01
1.380582709097077032e+00 2.111914287093065168e-01
1.411262324854789973e+00 2.262735217896632012e-01
1.441941940612502693e+00 2.444718564207810085e-01
1.472621556370215412e+00 2.651307147637202988e-01
1.503301172127928353e+00 2.875908526311162228e-01
1.533980787885641073e+00 3.115112628075666357e-01
1.564660403643354014e+00 3.371776703226125327e-01
1.595340019401066733e+00 3.657762118147627195e-01
1.626019635158779675e+00 3.995755125190725288e-01
1.656699250916492394e+00 4.419054250655785054e-01
1.687378866674205335e+00 4.968180534955978778e-01
1.718058482431918055e+00 5.684456581777304063e-01
1.748738098189630996e+00 6.602782706410851299e-01
1.779417713947343715e+00 7.746494958001575171e-01
1.810097329705056657e+00 9.125417448810928533e-01
1.840776945462769376e+00 1.073607530547368016e+00
1.871456561220482318e+00 1.256253442725980385e+00
1.902136176978195037e+00 1.457708533071289558e+00
1.932815792735907978e+00 1.674076267219025249e+00
1.963495408493620697e+00 1.900401441162077321e+00
1.994175024251333417e+00 2.130783153560714016e+00
2.024854640009046136e+00 2.358552478127637908e+00
2.055534255766759077e+00 2.576519571301714606e+00
2.086213871524472019e+00 2.777283046591211058e+00
2.116893487282184960e+00 2.953585226117371398e+00
2.147573103039897457e+00 3.098690363534059244e+00
2.178252718797610399e+00 3.206759096336901038e+00
2.208932334555323340e+00 3.273191211875629225e+00
2.239611950313036282e+00 3.294910216941927761e+00
2.270291566070748779e+00 3.270566974402327354e+00
2.300971181828461720e+00 3.200645446360169899e+00
2.331650797586174662e+00 3.087460849125125417e+00
2.362330413343887603e+00 2.935048654344847296e+00
2.393010029101600100e+00 2.748951173180420593e+00
2.423689644859313042e+00 2.535916242968176526e+00
2.454369260617025983e+00 2.303529162331712232e+00
2.485048876374738480e+00 2.059803966404430753e+00
2.515728492132451422e+00 1.812763023063664214e+00
2.546408107890164363e+00 1.570034546852529633e+00
2.577087723647877304e+00 1.338495871361227829e+00
2.607767339405589802e+00 1.123986086334685996e+00
2.638446955163302743e+00 9.311045446324872632e-01
2.669126570921015684e+00 7.631006912352972238e-01
2.699806186678728626e+00 6.218438169003335236e-01
2.730485802436441123e+00 5.078387937545402187e-01
